,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,split14_test_accuracy,split15_test_accuracy,split16_test_accuracy,split17_test_accuracy,split18_test_accuracy,split19_test_accuracy,split20_test_accuracy,split21_test_accuracy,split22_test_accuracy,split23_test_accuracy,split24_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,split10_test_f1_macro,split11_test_f1_macro,split12_test_f1_macro,split13_test_f1_macro,split14_test_f1_macro,split15_test_f1_macro,split16_test_f1_macro,split17_test_f1_macro,split18_test_f1_macro,split19_test_f1_macro,split20_test_f1_macro,split21_test_f1_macro,split22_test_f1_macro,split23_test_f1_macro,split24_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
4,0.6156389904022217,0.015208780315479677,0.02675111770629883,0.00138936534926805,5,5,,1,2,"{'max_depth': 5, 'max_features': 5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6326530612244898,0.5102040816326531,0.4897959183673469,0.46938775510204084,0.5,0.5102040816326531,0.5306122448979592,0.46938775510204084,0.5102040816326531,0.5833333333333334,0.5102040816326531,0.5510204081632653,0.4489795918367347,0.5714285714285714,0.5625,0.3877551020408163,0.4897959183673469,0.5714285714285714,0.6326530612244898,0.6041666666666666,0.6122448979591837,0.5510204081632653,0.5918367346938775,0.4897959183673469,0.4583333333333333,0.5295578231292517,0.06065472316080671,8,0.6199633699633699,0.5301834508400856,0.378448275862069,0.43295739348370926,0.38626651126651124,0.4418584825234442,0.5382028789923526,0.3787986124682431,0.49906048726375407,0.4961805555555555,0.43741292232671547,0.5003613369467028,0.4051535087719298,0.47877774553561153,0.5513250263250263,0.3116037219485495,0.46195538878465714,0.5273106546854942,0.540650406504065,0.5138729977116705,0.5719684811083384,0.5229551150603782,0.5940629011553273,0.39798620025673936,0.36816670648192384,0.475419325272889,0.07741244479053055,11
22,0.6084450531005859,0.014162306728928348,0.02703688621520996,0.0013390592236458825,,5,,5,2,"{'max_depth': None, 'max_features': 5, 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6122448979591837,0.4897959183673469,0.46938775510204084,0.40816326530612246,0.5416666666666666,0.5306122448979592,0.5510204081632653,0.5102040816326531,0.5102040816326531,0.5416666666666666,0.4897959183673469,0.5510204081632653,0.4489795918367347,0.5918367346938775,0.5625,0.40816326530612246,0.4897959183673469,0.5306122448979592,0.6122448979591837,0.6041666666666666,0.6122448979591837,0.5102040816326531,0.5510204081632653,0.5306122448979592,0.4583333333333333,0.5246598639455783,0.05749670266819516,19,0.590989010989011,0.495304114490161,0.3991841491841492,0.3832602933646577,0.46822284469343295,0.4639627659574468,0.551035539238806,0.42082166199813253,0.4812244062244062,0.46111901375059267,0.4104718810601164,0.49837962962962956,0.3981459330143541,0.5262881562881563,0.5513250263250263,0.3231693231693232,0.45639286555909037,0.5057588075880759,0.4961793265360277,0.5134502923976608,0.5631578947368421,0.46641175588544015,0.539691742081448,0.48308458638444285,0.3624157172750523,0.47237786951285926,0.06544920838959377,12
23,0.6025486183166504,0.009832242907574345,0.026867513656616212,0.001048902032217966,,5,,5,5,"{'max_depth': None, 'max_features': 5, 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.6122448979591837,0.4897959183673469,0.46938775510204084,0.40816326530612246,0.5416666666666666,0.5306122448979592,0.5510204081632653,0.5102040816326531,0.5102040816326531,0.5416666666666666,0.4897959183673469,0.5510204081632653,0.4489795918367347,0.5918367346938775,0.5625,0.40816326530612246,0.4897959183673469,0.5306122448979592,0.6122448979591837,0.6041666666666666,0.6122448979591837,0.5102040816326531,0.5510204081632653,0.5306122448979592,0.4583333333333333,0.5246598639455783,0.05749670266819516,19,0.590989010989011,0.495304114490161,0.3991841491841492,0.3832602933646577,0.46822284469343295,0.4639627659574468,0.551035539238806,0.42082166199813253,0.4812244062244062,0.46111901375059267,0.4104718810601164,0.49837962962962956,0.3981459330143541,0.5262881562881563,0.5513250263250263,0.3231693231693232,0.45639286555909037,0.5057588075880759,0.4961793265360277,0.5134502923976608,0.5631578947368421,0.46641175588544015,0.539691742081448,0.48308458638444285,0.3624157172750523,0.47237786951285926,0.06544920838959377,12
26,0.6182224082946778,0.011924897242479521,0.02675539016723633,0.0011491681357350195,,sqrt,0.6,5,2,"{'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.5714285714285714,0.4897959183673469,0.46938775510204084,0.42857142857142855,0.5625,0.5102040816326531,0.5918367346938775,0.5510204081632653,0.4489795918367347,0.4791666666666667,0.46938775510204084,0.5306122448979592,0.46938775510204084,0.5510204081632653,0.5833333333333334,0.42857142857142855,0.4897959183673469,0.4897959183673469,0.5918367346938775,0.6458333333333334,0.5510204081632653,0.5102040816326531,0.5918367346938775,0.5714285714285714,0.4583333333333333,0.5214115646258504,0.057695171545446296,24,0.5330099346782866,0.5077380952380952,0.3944444444444445,0.3997689997689998,0.5059787773202408,0.43423392997861077,0.5683519304828676,0.5038705913885253,0.41620879120879123,0.398929448929449,0.3985671191553545,0.46429349517584806,0.41618381618381617,0.4839631782945737,0.5487199582027168,0.38853276353276356,0.4691568861177334,0.4538095238095238,0.4793169793169793,0.5909595959595959,0.48579782790309106,0.46173125120493547,0.5709856915739269,0.5631064778389719,0.3674537133347202,0.4722045288417145,0.06418537875152532,14
27,0.6144900608062744,0.015105570621395378,0.026473255157470704,0.0013053281423132505,,sqrt,0.6,5,5,"{'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.5714285714285714,0.4897959183673469,0.46938775510204084,0.42857142857142855,0.5625,0.5102040816326531,0.5918367346938775,0.5510204081632653,0.4489795918367347,0.4791666666666667,0.46938775510204084,0.5306122448979592,0.46938775510204084,0.5510204081632653,0.5833333333333334,0.42857142857142855,0.4897959183673469,0.4897959183673469,0.5918367346938775,0.6458333333333334,0.5510204081632653,0.5102040816326531,0.5918367346938775,0.5714285714285714,0.4583333333333333,0.5214115646258504,0.057695171545446296,24,0.5330099346782866,0.5077380952380952,0.3944444444444445,0.3997689997689998,0.5059787773202408,0.43423392997861077,0.5683519304828676,0.5038705913885253,0.41620879120879123,0.398929448929449,0.3985671191553545,0.46429349517584806,0.41618381618381617,0.4839631782945737,0.5487199582027168,0.38853276353276356,0.4691568861177334,0.4538095238095238,0.4793169793169793,0.5909595959595959,0.48579782790309106,0.46173125120493547,0.5709856915739269,0.5631064778389719,0.3674537133347202,0.4722045288417145,0.06418537875152532,14
5,0.613566780090332,0.010959818611893888,0.02659653663635254,0.0009223594860292398,5,5,,1,5,"{'max_depth': 5, 'max_features': 5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.5918367346938775,0.5102040816326531,0.46938775510204084,0.4897959183673469,0.5416666666666666,0.5306122448979592,0.5714285714285714,0.4489795918367347,0.5306122448979592,0.5833333333333334,0.5102040816326531,0.5306122448979592,0.46938775510204084,0.5714285714285714,0.6041666666666666,0.3877551020408163,0.4897959183673469,0.5102040816326531,0.6122448979591837,0.5833333333333334,0.5510204081632653,0.5510204081632653,0.5510204081632653,0.4897959183673469,0.4791666666666667,0.5263605442176871,0.0525723433833308,14,0.5592346250240987,0.5301834508400856,0.37011494252873567,0.4523587627035903,0.4211640211640212,0.46636661211129293,0.5710001499475184,0.3555485435280832,0.5375220257252925,0.4948688926617619,0.43457602339181284,0.4798663227016886,0.4548611111111111,0.5035103785103785,0.6176651305683564,0.313003663003663,0.4567905536198219,0.44027777777777777,0.5238648947951273,0.4434782608695652,0.49447817404473754,0.5447232947232947,0.539691742081448,0.3918300653594771,0.39081281037802773,0.4715116891668308,0.07209236424820209,16
30,0.6957296848297119,0.0161988237440517,0.027035799026489258,0.001285214098034735,,sqrt,,5,2,"{'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.5918367346938775,0.5306122448979592,0.46938775510204084,0.5102040816326531,0.5833333333333334,0.5306122448979592,0.5510204081632653,0.5102040816326531,0.40816326530612246,0.5,0.5102040816326531,0.5510204081632653,0.42857142857142855,0.5510204081632653,0.5833333333333334,0.40816326530612246,0.4489795918367347,0.5306122448979592,0.6326530612244898,0.625,0.5510204081632653,0.5102040816326531,0.5918367346938775,0.5306122448979592,0.4375,0.5230442176870749,0.06154559596143446,22,0.5592958113477948,0.5491752256458139,0.3995614035087719,0.4932470064049011,0.5052484787018257,0.46636661211129293,0.5338461538461539,0.4460227272727273,0.38257609836557205,0.43116883116883115,0.4279665118079752,0.4926638176638176,0.38531841959261315,0.4708928571428571,0.5626984126984127,0.3728047363950001,0.4067718794835007,0.48782051282051286,0.5197141359932058,0.5247425629290619,0.48766788766788766,0.4600427350427351,0.5651924651924651,0.48308458638444285,0.35757575757575755,0.47085862507055715,0.06143055279670879,17
31,0.6903203010559082,0.01898616836474314,0.027027730941772462,0.0015432271465644243,,sqrt,,5,5,"{'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.5918367346938775,0.5306122448979592,0.46938775510204084,0.5102040816326531,0.5833333333333334,0.5306122448979592,0.5510204081632653,0.5102040816326531,0.40816326530612246,0.5,0.5102040816326531,0.5510204081632653,0.42857142857142855,0.5510204081632653,0.5833333333333334,0.40816326530612246,0.4489795918367347,0.5306122448979592,0.6326530612244898,0.625,0.5510204081632653,0.5102040816326531,0.5918367346938775,0.5306122448979592,0.4375,0.5230442176870749,0.06154559596143446,22,0.5592958113477948,0.5491752256458139,0.3995614035087719,0.4932470064049011,0.5052484787018257,0.46636661211129293,0.5338461538461539,0.4460227272727273,0.38257609836557205,0.43116883116883115,0.4279665118079752,0.4926638176638176,0.38531841959261315,0.4708928571428571,0.5626984126984127,0.3728047363950001,0.4067718794835007,0.48782051282051286,0.5197141359932058,0.5247425629290619,0.48766788766788766,0.4600427350427351,0.5651924651924651,0.48308458638444285,0.35757575757575755,0.47085862507055715,0.06143055279670879,17
8,0.6484965801239013,0.011114636454111747,0.02721510887145996,0.0010449830980913735,5,sqrt,0.6,1,2,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6122448979591837,0.42857142857142855,0.4897959183673469,0.46938775510204084,0.5,0.4897959183673469,0.5714285714285714,0.4897959183673469,0.4897959183673469,0.5833333333333334,0.4897959183673469,0.5918367346938775,0.46938775510204084,0.6326530612244898,0.625,0.40816326530612246,0.4489795918367347,0.4897959183673469,0.6122448979591837,0.625,0.5918367346938775,0.5102040816326531,0.5918367346938775,0.5102040816326531,0.4583333333333333,0.5271768707482993,0.06738278095229393,13,0.6031643356643357,0.4292330010415117,0.3799019607843137,0.4338235294117647,0.3873815676141258,0.415018315018315,0.5532491898345557,0.39461580086580084,0.4707519271664009,0.49129919393077287,0.416743817564611,0.5573806905177805,0.41158424908424907,0.5860465116279069,0.6305555555555555,0.3253968253968254,0.4149468417761101,0.43118212197159567,0.5054373739226115,0.475,0.5404761904761904,0.46401098901098903,0.584662413609782,0.4714285714285714,0.3674537133347202,0.46962978746437584,0.08006480729811725,19
21,0.6457749748229981,0.017447714368268384,0.026730432510375976,0.0016206691837717829,,5,,1,5,"{'max_depth': None, 'max_features': 5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.5714285714285714,0.5306122448979592,0.5510204081632653,0.4897959183673469,0.4791666666666667,0.5714285714285714,0.5918367346938775,0.42857142857142855,0.46938775510204084,0.5833333333333334,0.5102040816326531,0.6122448979591837,0.42857142857142855,0.5102040816326531,0.6458333333333334,0.40816326530612246,0.46938775510204084,0.5102040816326531,0.5714285714285714,0.5625,0.5714285714285714,0.5306122448979592,0.5510204081632653,0.5510204081632653,0.5,0.5279761904761905,0.05832279609713429,12,0.5735918003565063,0.5235969387755102,0.46724055475848875,0.44569863853400443,0.3645614035087719,0.517681623931624,0.6070214338507021,0.3221532091097309,0.4492737525632263,0.49181286549707603,0.4212412587412588,0.5457671957671957,0.3806416284864561,0.4289130434782609,0.6248366013071895,0.3333333333333333,0.4412576312576313,0.47052062204192024,0.4876068376068376,0.40998803827751196,0.5126984126984127,0.5086816440264716,0.5052471116816432,0.48523108097576184,0.4179606625258799,0.4694622929236562,0.07531469402011641,20
1,0.5734313774108887,0.015311098062166831,0.02632369041442871,0.0013240669928896354,5,5,0.6,1,5,"{'max_depth': 5, 'max_features': 5, 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6122448979591837,0.4897959183673469,0.5102040816326531,0.5102040816326531,0.5,0.46938775510204084,0.5306122448979592,0.4897959183673469,0.5102040816326531,0.5625,0.4897959183673469,0.6530612244897959,0.46938775510204084,0.5510204081632653,0.5833333333333334,0.40816326530612246,0.4897959183673469,0.46938775510204084,0.5714285714285714,0.625,0.5918367346938775,0.5306122448979592,0.5918367346938775,0.5102040816326531,0.4166666666666667,0.5254591836734693,0.060586519273993444,15,0.5898926654740608,0.5095588235294117,0.4398989898989899,0.45957341269841273,0.3873815676141258,0.39469387755102037,0.5145917678812415,0.42401439140569575,0.4813355881867679,0.47873986040369737,0.4104718810601164,0.6127131782945736,0.4172870140612076,0.46025922701709293,0.5882066276803118,0.3265915119363395,0.46195538878465714,0.4086414231763069,0.46107079195314493,0.5247425629290619,0.5511363636363636,0.5073208702972768,0.5505354294827979,0.40943083515239714,0.32881887933038834,0.4679545171774184,0.07481867198507433,21
